"osm_id";"code";"fclass";"name";"website";"webiste2";"descr_ger";"descr_eng";"maps";"mapcategory";"lon";"lat"
"3861270451";2303;"cafe";"Brühmarkt";"https://www.bruehmarkt.com/";"https://www.instagram.com/bruehmarkt/";"Geröstete und gemahlene Kaffeebohnen in modernem Café mit Terrasse, Kuchen und Obstsalat (auch zum Mitnehmen)";"Roasted and ground coffee beans in modern café with terrace, cakes and fruit salad (also for take away)";"https://g.page/bruehmarkt?share";"cafes";8.64965319973544;50.1202952000635
"6911937330";2303;"cafe";"Hoppenworth & Ploch";"https://hoppenworth-ploch.de/";"https://www.instagram.com/hoppenworthundploch/";"Kaffeerösterei mit nachhaltig produzierten Kaffees aus der ganzen Welt";"Coffee roastery with sustainably produced coffees from around the world";"https://goo.gl/maps/Fwatma6dVNSVZ3Bs6";"cafes";8.68374639957671;50.1109280999519
"9136094917";2502;"cafe";"Zeit für Brot";"https://zeitfuerbrot.com/";"https://www.instagram.com/zeitfuerbrot/";"Traditionelle Bio-Bäckerei mit Kaffee und leckerem Brot";"Traditional organic bakery with coffee and delicious bread";"https://goo.gl/maps/zBrarui66FpqwVv57";"cafes";8.67077500016615;50.1091578996174
NA;0;"cafe";"Eis Fontanella";"http://www.eisfontanella-frankfurt.de/";NA;"Milch- und Fruchteis sowie Strudel und Waffeln in einem etablierten Eiscafé mit Außenbereich";"Milk and fruit ice cream as well as strudel and waffles in an established ice cream café with outdoor area";"https://goo.gl/maps/hHsakp61C1G9qTSw5";"cafes";8.67121884118514;50.1088867124502
NA;0;"cafe";"Coffee Fellows";"https://coffee-fellows.com/locations/coffee-fellows-frankfurt-hbf";NA;"Leckerer Kaffee, Bagels und Frühstück";"Delicious coffee, bagels and breakfast";"https://goo.gl/maps/B49iExe67MCVnv9NA";"cafes";8.67542403371602;50.1109483069146
NA;0;"cafe";"Cafe Maingold";"http://www.cafe-maingold.de/";NA;"Charmantes Café im Vintage-Stil mit begrünter Terrasse, auf der Sonntagsbrunch, Snacks und Cocktails serviert werden";"Charming vintage-style café with leafy terrace serving Sunday brunch, snacks and cocktails";"https://goo.gl/maps/hdCThoDZXsCmnUVF8";"cafes";8.69382227418266;50.1150432811971
NA;0;"cafe";"Casa de Portugal";"https://www.casadeportugal.de/";NA;"Kulinarische Ergüsse aus Portugal, erlesene Weine und eine exklusiven Auswahl an Käse, in einem Ambiente wie im Urlaub";"Culinary delights from Portugal, exquisite wines and an exclusive selection of cheeses, in an ambience like on vacation";"https://g.page/casadeportugalfrankfurt?share";"cafes";8.68706201030323;50.1045140242948
NA;0;"restaurant";"Apfelwein Solzer";"http://www.solzer-frankfurt.de/";NA;"Alteingesessenes Wirtshaus mit traditionellem Apfelwein und klassischer Frankfurter Küche, mit Gartenbestuhlung";"Old-established pub serving traditional cider and classic Frankfurt cuisine, with garden seating.";"https://goo.gl/maps/9q8u9qX9vxrhHiKQ9";"german_restaurants";8.71121118047129;50.128330749408
NA;0;"restaurant";"Frau Rauscher";"https://www.frau-rauscher.com/";NA;"Große Teller, recht günstig und wirklich nettes Personal";"Big plates, quite cheap and really nice staff";"https://goo.gl/maps/BKV3nZRePQKAkMx1A";"german_restaurants";8.69154359817529;50.1052102969842
NA;0;"restaurant";"Apfelwein-Wirtschaft Fichtekränzi";"http://www.fichtekraenzi.de/";NA;"Apfelwein und Klassiker wie Frankfurter und Schnitzel in einem gemütlichen Gasthaus aus dem 19. Jh. mit Garten";"Cider and classics like frankfurters and schnitzel in a cozy 19th century inn with a garden";"https://goo.gl/maps/ae3HcZWaAKr8XtYRA";"german_restaurants";8.68922227976324;50.1047659137646
NA;0;"restaurant";"Zu den 12 Aposteln";"http://www.12aposteln-frankfurt.de/";NA;"Regionale deutsche Fleischspezialitäten und hausgebraute Biere in einer lebhaften, rustikalen Brauereischenke";"Regional German meat specialties and home-brewed beers in a lively, rustic brewery pub.";"https://g.page/Zuden12Apostel?share";"german_restaurants";8.68635362549191;50.1173801177537
NA;0;"restaurant";"Zum Lahmen Esel";"https://www.lahmer-esel.de/Speisekarte";NA;"Traditionelle Gerichte und Wurstteller in einem freundlichen, rustikalen Lokal im Landhausstil mit Biergarten";"Traditional dishes and sausage plates in a friendly, rustic country-style restaurant with a beer garden.";"https://g.page/LahmerEsel?share";"german_restaurants";8.62193189389554;50.1694485743434
NA;0;"restaurant";"Restaurant Klosterhof";"https://www.klosterhof-frankfurt.de/";NA;"Schnitzel, Rinderrouladen und Kartoffelgerichte in einer traditionsreichen, holzgetäfelten Gaststätte mit Biergarten";"Schnitzel, beef roulades and potato dishes in a traditional, wood-paneled restaurant with a beer garden";"https://goo.gl/maps/AxS6qGhpixo3tXpQ7";"german_restaurants";8.6771265602189;50.1094350986117
NA;0;"restaurant";"Zum Gemalten Haus";"https://www.zumgemaltenhaus.de/";NA;"Traditionelle Wurst, Fleischspeisen und Apfelwein in einem holzgetäfelten Lokal aus den 1930ern mit Wandbildern";"Traditional sausage, meat dishes and cider in a 1930s wood-paneled pub with murals";"https://goo.gl/maps/nZQ3h59XHswQP8AN9";"german_restaurants";8.68187680036785;50.1007044750641
NA;0;"restaurant";"Apfelwein Wagner";"https://www.apfelwein-wagner.com/";NA;"Deftige deutsche Küche sowie Wein, Bier und Apfelwein aus der Region in einem einfachen Wirtshaus mit Straßenterrasse";"Hearty German cuisine as well as wine, beer and cider from the region in a simple inn with a street terrace";"https://goo.gl/maps/VWAMVTD8PruUAqUx5";"german_restaurants";8.68199684160653;50.1005201246533
NA;0;"restaurant";"Gaststätte Atschel";"http://www.atschel-frankfurt.de/";NA;"Typische deutsche Gerichte in einem traditionellen Apfelweinlokal aus dem 19. Jh. mit Holztäfelung und Garten";"Typical German dishes in a traditional 19th century cider pub with wood paneling and garden.";"https://goo.gl/maps/ZLK6tXytMRQgQ9BK6";"german_restaurants";8.68890902591553;50.1048073738334
"292045695";2301;"restaurant";"Comai";"https://www.comai.de/";"https://www.instagram.com/comaiskitchen/";"Moderne vietnamesische Küche";"Modern vietnamese cuisine";"https://goo.gl/maps/TrbqekZTy3HFxyiC8";"international_restaurants";8.71220250044507;50.1113133002686
"302803335";2301;"restaurant";"Papanova";"https://www.papanova-frankfurt.de/";"https://www.instagram.com/papanova_nordend/";"Zwangloses italienisches Restaurant für Pizza, Pasta und Risotto sowie Grillgerichte und Desserts";"Casual Italian restaurant for pizza, pasta and risotto as well as grilled dishes and desserts";"https://goo.gl/maps/7oJQup15esXAgWpF6";"international_restaurants";8.68532460005031;50.1275841000262
"411722094";2301;"restaurant";"Namaste India";"https://namasteindiafrankfurt.com/";"https://www.instagram.com/namastefrankfurt/";"Tandoori-Gerichte und würzige Currys in einem gemütlichen indischen Restaurant mit Straßenterrasse";"Tandoori dishes and spicy curries in a cosy Indian restaurant with street terrace";"https://goo.gl/maps/7nMXFcUJzDPsCYad8";"international_restaurants";8.6474802002511;50.1185273001948
"463199462";2301;"restaurant";"Joe Peña’s Cantina y Bar";"https://frankfurt.joepenas.de/";"https://www.instagram.com/joepenas_frankfurt/";"Fleisch vom Grill, Fajitas und Cocktails im mexikanischen Restaurant mit großer Bar und Terrasse";"Grilled meat, fajitas and cocktails in the Mexican restaurant with large bar and terrace";"https://goo.gl/maps/Qde6GCiHP2N77rgBA";"international_restaurants";8.64898730032371;50.1170397999468
"626130028";2301;"restaurant";"Mikuni";"https://de-de.facebook.com/Mikunirestaurant";"https://de-de.facebook.com/Mikunirestaurant";"Zwangloses, modernes Sushi-Restaurant mit Tempura und japanischem Bier";"Casual, modern sushi restaurant with tempura and Japanese beer";"https://goo.gl/maps/DPypDKAGBpzUdmps7";"international_restaurants";8.68599820035672;50.113091400248
"626623990";2301;"restaurant";"Im Herzen Afrikas";"https://imherzenafrikas-frankfurt.de/";"https://www.instagram.com/imherzenafrikasfrankfurt/";"Im einzigartigen afrikanischen Dekor werden Gerichte aus Eritrea ohne Besteck vom gemeinsamen Teller verzehrt";"In the unique African décor, dishes from Eritrea are eaten from a shared plate without cutlery";"https://goo.gl/maps/boCQUpaLDaftL8ZV8";"international_restaurants";8.67154639994646;50.1074395002328
"1581300048";2301;"restaurant";"Super Bro's";"https://super-bros.de/";"https://www.instagram.com/superbrosfrankfurt/";"Neapolitanische Pizza mit veganen Alternativen in einer belebten, rustikalen Atmosphäre";"Neapolitan pizza with vegan alternatives in a lively, rustic atmosphere";"https://goo.gl/maps/rvRGHUyNKXtWiHAE9";"international_restaurants";8.68024409958559;50.121797499555
"1901984458";2301;"restaurant";"Der fette Bulle";"https://derfettebulle.de/";"https://www.instagram.com/derfettebulle/";"Belebtes Lokal im schicken Industriestil, mit deftigen Burgern sowie Bier und Pommes";"Lively pub in chic industrial style, with hearty burgers, beer and chips";"https://g.page/derfettebullefrankfurt?share";"international_restaurants";8.66650200006728;50.1077157000196
"6517772600";2301;"restaurant";"Café Caramel";"https://cafe-caramel-ffm.de/";"https://www.instagram.com/cafecaramel_ffm/";"Einladendes Café mit leckerem Frühstücksangebot";"Cosy café with a delicious breakfast menu";"https://g.page/cafe-caramel?share";"international_restaurants";8.68135299964126;50.1244185997386
"6566603467";2301;"restaurant";"Bar Shuka";"https://barshuka.com/";"https://www.instagram.com/shukabar/";"Orientalische Fusionsküche in einem von Frauen geführten Restaurant mit origineller Einrichtung und Holzterrasse";"Oriental fusion cuisine in a women-run restaurant with original décor and wooden terrace";"https://goo.gl/maps/ABX3ucJTEa4EACFx6";"international_restaurants";8.66333020002878;50.1095037995607
NA;0;"restaurant";"Da Cimino";"https://www.pizzeria-da-cimino.de/";"https://www.instagram.com/dacimino_/";"Beliebtes Lokal mit üppigen Pizzas aus dem offenen Steinofen sowie Pastagerichten und einer Sommerterrasse";"Popular restaurant with sumptuous pizzas from the open stone oven as well as pasta dishes and a summer terrace";"https://goo.gl/maps/rJDLdc5cekDkvVmL6";"international_restaurants";8.64564406435277;50.119313397283
NA;0;"restaurant";"Main Nizza";"http://mainnizza.de/";NA;"Klassische Gerichte und Wein in einem stilvollen Restaurant am Fluss mit Terrasse und Balkon";"Classic dishes and wine in a stylish riverside restaurant with terrace and balcony";"https://goo.gl/maps/EpBytektGcDmbzJq6";"international_restaurants";8.6738164419076;50.1064799364205
NA;0;"restaurant";"Zeil Kitchen";"https://www.zeil-kitchen.de/";NA;"Belebtes, urbanes Bistro mit pflanzlichen Burgern, kreativen veganen Snacks und minimalistischem Künstlerflair";"Bustling urban bistro with plant-based burgers, creative vegan snacks and minimalist artist flair";"https://goo.gl/maps/etevdeQaHLLymusu6";"international_restaurants";8.6846930456218;50.1146861831054
NA;0;"restaurant";"L'Osteria";"https://losteria.net/de/";NA;"Große Pizzen und nette Atmosphäre, direkt am Fluss";"Big pizzas and nice atmosphere, right next to river";"https://goo.gl/maps/xQ4uj3fbhNindW5z6";"international_restaurants";8.66346612917294;50.1012093402
NA;0;"restaurant";"Thai Fun";"http://www.thaifun-halal.de/";NA;"Thailändische Halal-Klassiker wie Nudelsuppen, Pfannengerichte und Currys in einem zwanglosen Restaurant";"Thai halal classics like noodle soups, stir-fries and curries in a casual restaurant";"https://g.page/thai-restaurant-frankfurt?share";"international_restaurants";8.66854670079324;50.1077858385958
NA;0;"restaurant";"BACCO";"http://www.bacco-frankfurt.de/";NA;"Traditionelle italienische Spezialitäten in einem kleinen, gemütlichen Restaurant mit Tischen am Gehweg";"Traditional Italian specialities in a small, cosy restaurant with tables on the sidewalk";"https://goo.gl/maps/1gHQRLfpgXhNaEhs8";"international_restaurants";8.66885997980521;50.1086924070641
NA;0;"restaurant";"Chilinh Sushi";"https://www.chilinh-restaurant.de/";NA;"Leckere Sushi-Spezialitäten in gemütlicher Atmosphäre";"Delicious sushi delights in a cosy atmosphere";"https://goo.gl/maps/b85Lm8Cc6eSfo8ng8";"international_restaurants";8.66816411226538;50.1081046623691
NA;0;"restaurant";"KOOGI";"https://www.koogi.de/";NA;"Koreanisches BBQ-Restaurant mit Kino daneben. Viele Beilagen zu einem erschwinglichen Preis (etwa 15 € pro Kopf für BBQ)";"Korean bbq restaurant with cinema next to it. A lot of side dishes for an affordable price (around 15€ per head for BBQ)";"https://goo.gl/maps/Bedz5b3CEQXP1wpa7";"international_restaurants";8.52461090734734;50.1208440054074
NA;0;"restaurant";"Frittenwerk";"https://www.frittenwerk.com/frankfurt.php";NA;"bietet eine große Auswahl an Pommes frites mit verschiedenen Belägen/Saucen";"offers a wide variety of fries with different toppings/sauces";"https://goo.gl/maps/Vy3UkMxATpYxksoc9";"international_restaurants";8.66526775076655;50.1077680953599
NA;0;"restaurant";"TRINITII Mosel";"https://www.trinitii.de/mosel/";NA;"Hawaiianisches Restaurant im Bahnhofsviertel";"Hawaiian restaurant in the Bahnhofsviertel";"https://g.page/trinitiiffm?share";"international_restaurants";8.66826495957899;50.1069417633441
NA;0;"restaurant";"Istanbul Fisch Grill";"https://istanbulfischgrill.eatbu.com/?lang=de";NA;"Fisch und Meeresfrüchte in großzügigen Portionen in einem kleinen, bodenständigen Restaurant";"Fish and seafood in generous portions in a small, homely restaurant";"https://goo.gl/maps/zoeX1yy6NqtWp8jw9";"international_restaurants";8.66942888767285;50.1075988697121
NA;0;"restaurant";"Bayram Kebap Haus";"http://www.bayram-kebap-haus.de/de/";NA;"Dönerteller und türkische Pizza sowie typische Desserts und Getränke in schlichtem Lokal mit Tischen an der Straße";"Kebab plates and Turkish pizza as well as typical desserts and drinks in a simple restaurant with tables on the street.";"https://goo.gl/maps/69cxeKu47zcKAeZeA";"international_restaurants";8.66921440506712;50.1075475803933
NA;0;"restaurant";"Currywurst Taunus 25";"https://currywurst-frankfurt.de/";NA;"Currywurst mit frittierten Pommes, Würsten vom Landmetzger und eigenem Landbauernbrot und Soße";"Curry sausage with deep-fried chips, sausages from the country butcher and our own country farmer's bread and sauce";"https://goo.gl/maps/gpfBXch3LjZ4zgLK7";"international_restaurants";8.667358664261;50.1092681039045
NA;0;"restaurant";"Sen";"http://sen-frankfurt.de/";NA;"Frühlingsrollen, Pho-Suppen und Kokoscurrys in kompaktem, modernem Lokal mit farbenfroher fernöstlicher Kunst";"Spring rolls, pho soups and coconut curries in a compact, modern venue with colourful Far Eastern art.";"https://goo.gl/maps/gK2L51pUMJVpdmGJA";"international_restaurants";8.66844972795103;50.1095058998369
NA;0;"restaurant";"Sapôres Sàigòn Street Food";"http://www.sapores-streetfood.de/";NA;"Authentische vietnamesische Gerichte und Street Food";"Authentic Vietnamese dishes and street food";"https://goo.gl/maps/mAFj4wAn7v6XGj4Y6";"international_restaurants";8.66598080562099;50.107945645189
NA;0;"restaurant";"Thai Imbiss Pattaya";"https://pattaya-imbiss.com/";NA;"Thailändisches Imbisslokal mit Tischen am Gehweg und großer Auswahl an traditionellen Thai-Gerichten zum Mitnehmen";"Thai diner with sidewalk tables and large selection of traditional Thai dishes for takeaway";"https://goo.gl/maps/6Gvbv5djrjCv71Gy5";"international_restaurants";8.66820724034118;50.1096014658262
NA;0;"restaurant";"eatDOORI";"http://www.eatdoori.com/";NA;"Indisches Streetfood in urbanem Ambiente und moderner Markthallenatmosphäre mit Lounge und offener Küche";"Indian street food in urban ambience and modern market hall atmosphere with lounge and open kitchen";"https://goo.gl/maps/ebNiuJLNBuWrCYE39";"international_restaurants";8.6689612573029;50.10834495197
NA;0;"restaurant";"Seoulfood";"https://www.seoulfood.eu/menu";NA;"Würzige Suppen, Maki und Bibimbap-Variationen in kleinem, minimalistischem Restaurant mit koreanischer Küche";"Spicy soups, maki and bibimbap variations at small, minimalist restaurant serving Korean cuisine";"https://g.page/SEOULFOOD-Korean-Food?share";"international_restaurants";8.66967181507374;50.1082493417501
NA;0;"restaurant";"dean&david";"https://deananddavid.de/";NA;"Eine Dean&David-Filiale";"A Dean&David Store";"https://goo.gl/maps/MogA5osswaaoXhsX7";"international_restaurants";8.67169918632815;50.1090250883073
NA;0;"restaurant";"chidoba Mexican Grill";"https://www.chidoba.com/";NA;"Mexikanisches Fast-Food Restaurant";"Mexican Fast Food restaurant";"https://goo.gl/maps/dZJ5FYTVMr7KmxHr5";"international_restaurants";8.66981957632272;50.1085731127221
NA;0;"restaurant";"Alim Fisch Imbiss";"https://www.alim-market.com/";NA;"Lebhafte türkische Snackbar mit gegrillten Fisch- und Meeresfrüchtegerichten aus dem Mittelmeerraum";"Lively Turkish snack bar with grilled fish and seafood dishes from the Mediterranean region";"https://g.page/Alimsfish?share";"international_restaurants";8.6685744705041;50.107401887528
NA;0;"restaurant";"Antru Noodle Bar";"https://vietnam-restaurant.net/";NA;"Ob es sich um die dampfenden Suppen von Ho-Chi-Minh-Stadt oder die duftenden Streetfood-Angebote von Hanoi handelt, vietnamesische Gerichte werden bei uns gerne gegessen";"Whether it's the steaming soups of Ho Chi Minh City or the fragrant street food offerings of Hanoi, Vietnamese dishes are a favorite with us";"https://g.page/antruvietnamrestaurant?share";"international_restaurants";8.70052258644817;50.1227548737687
NA;0;"restaurant";"Restaurant Buenos Aires";"https://www.restaurant-buenos-aires.de/";NA;"Fleischgerichte stehen im Mittelpunkt der Karte dieses argentinischen Lokals";"Meat dishes are the focus of the menu of this Argentine restaurant";"https://g.page/Restaurantbuenosairesfrankfurt?share";"international_restaurants";8.6922422100458;50.1049703457991
"370935986";2202;"nightlife";"MTW";"http://www.mtwclub.de/";"https://www.instagram.com/clubmtw/";"Technoclub mit wechselnden DJs und Dance Partys sowie einer Außenterrasse mit Blick auf den Main";"Techno club with changing DJs and dance parties as well as an outdoor terrace with a view of the River Main";"https://goo.gl/maps/jA62D3NP3JUjVtJi6";"nightlife";8.7388658999414;50.1116158996541
"370935987";2202;"nightlife";"Robert Johnson";"https://www.robert-johnson.de/";"https://www.instagram.com/robertjohnsonclub/";"Der etablierte Technoclub ist für hochkarätige Gast-DJs und seine Terrasse mit Mainblick beliebt";"This established techno club is popular for top-class guest DJs and its terrace with a view of the River Main";"https://goo.gl/maps/aMSqhSVCsNhRqn4d9";"nightlife";8.73912390014794;50.1117012003502
"1384063934";2202;"nightlife";"Tanzhaus West";"https://tanzhaus-west.de/";"https://www.instagram.com/tanzhaus.west/";"Club in einer ehemaligen Druckfarbenfabrik mit DJs, Jazzkonzerten und Musik im Garten";"Club in a former printing ink factory with DJs, jazz concerts and music in the garden";"https://g.page/tanzhaus-west-frankfurt?share";"nightlife";8.64640439974329;50.09802989996
"4233671530";2202;"nightlife";"Gibson";"https://gibson-club.de/";"https://www.instagram.com/gibsonclub/";"DJ-Sessions und Liveauftritte in einem Club im Lagerhausstil";"DJ sessions and live performances in a warehouse-style club";"https://goo.gl/maps/yN4AfKxwH973BwqU9";"nightlife";8.68220579975792;50.1141532001101
"5430554423";2202;"nightlife";"Velvet Club";"https://www.velvet-ffm.de/";"https://www.instagram.com/velvetfrankfurtclub/";"Moderner Party-Veranstaltungsort mit großen Tanzflächen und Resident DJs, die Clubmusik und Hip-Hop auflegen";"Modern party venue with large dance floors and resident DJs spinning club music and hip-hop";"https://goo.gl/maps/9ub1vj1rYrKfkiV6A";"nightlife";8.67552110031858;50.1093938997088
"9445008684";2202;"nightlife";"Zoom";"https://zoomfrankfurt.com/";"https://www.instagram.com/zoomclubfrankfurt/";"Veranstaltungsort für Konzerte mit tollem Sound";"Concert venue with great sound";"https://goo.gl/maps/mYDwMQjdfTGy7XPw9";"nightlife";8.75066129997907;50.1217355002931
NA;0;"nightlife";"FREUD";"https://freud.zone/";"https://www.instagram.com/freud.club/";"Cocktails, elektronische Musik und Techno in einem Nachtclub im rauen, industriellen Stil, der Raum für kreative Kunst bietet";"Cocktails, electronic music and techno in a rough, industrial-style nightclub that offers space for creative art";"https://goo.gl/maps/gV8EKbUc2pa1bhwR6";"nightlife";8.68268896096893;50.1138729468309
NA;0;"nightlife";"AMP";"http://www.ampyourself.de/";NA;"Bar und Café mit DJs, Events, Spiegelskulptur an der Decke, Licht-Installation und kleinen Gerichten";"Bar and café with DJs, events, mirror sculpture on the ceiling, light installation and small dishes";"https://goo.gl/maps/54msyPFr93QZ7TnE7";"nightlife";8.67158630222956;50.1090040696714
NA;0;"nightlife";"Silbergold";"http://www.silbergold-club.de/";NA;"Kleiner alternativer Club mit modernem Würfeldesign und einem Kickertisch im Foyer";"Small alternative club with modern cube design and a foosball table in the foyer";"https://goo.gl/maps/QbkDqQ3mNM58n4XGA";"nightlife";8.69099743918987;50.1155363752137
NA;0;"nightlife";"Batschkapp";"http://batschkapp.tickets.de/";NA;"Moderner Veranstaltungsort für Rockmusik mit Live-Programm und alternativen Clubnächten mit DJs";"Modern venue for rock music with live programme and alternative club nights with DJs";"https://goo.gl/maps/HkZ1M1DnPLK2mv1ZA";"nightlife";8.73917834244206;50.1354806083446
NA;0;"nightlife";"Karlson";"https://www.facebook.com/karlsonclub";NA;"In diesem pulsierenden Nachtclub mit DJ-Sets werden Spirituosen- und Sektflaschen mit Wunderkerzen angeboten";"Spirits and champagne bottles with sparklers are offered in this vibrant nightclub with DJ sets";"https://goo.gl/maps/PvSZGKhsnev4yJGB8";"nightlife";8.66361350784371;50.1096934425996
NA;0;"nightlife";"Orange Peel";"https://de-de.facebook.com/orangepeel.ffm/";NA;"Alternativer Club spielt Swing, Electro und Pop und veranstaltet avantgardistisches Theater und Blueskonzerte";"Alternative club plays swing, electro and pop and hosts avant-garde theater and blues concerts";"https://goo.gl/maps/bPJAs4VMWJCovm1cA";"nightlife";8.67084195378821;50.1088035822444
NA;0;"nightlife";"ADLIB";"https://www.adlib-ffm.de/";NA;"Schicker Nachtclub auf 3 Ebenen mit DJ-Sets, Hip-Hop-Nächten und einer Rooftop-Terrasse mit Stadtblick";"Fancy nightclub on 3 levels with DJ sets, hip-hop nights and a rooftop terrace with city views";"https://g.page/adlib-ffm?share";"nightlife";8.71979062615337;50.1137309377725
